,TXS,NODES,FRAC_SPIES,PRECISION,RECALL,KAD_K,ID_LEN
0,1.0,10.0,0.5,1.0,1.0,20.0,8.0
1,5.0,10.0,0.5,0.75,1.0,20.0,8.0
2,10.0,10.0,0.5,0.5208333333333333,1.0,20.0,8.0
3,20.0,10.0,0.5,0.2742424242424243,1.0,20.0,8.0
4,50.0,10.0,0.5,0.10783156237701691,1.0,20.0,8.0
5,100.0,10.0,0.5,0.05427252060244387,1.0,20.0,8.0
6,1.0,10.0,0.3333333333333333,0.0,0.0,20.0,8.0
7,5.0,10.0,0.3333333333333333,0.75,1.0,20.0,8.0
8,10.0,10.0,0.3333333333333333,0.8,1.0,20.0,8.0
9,20.0,10.0,0.3333333333333333,0.25555555555555554,0.6666666666666666,20.0,8.0
10,50.0,10.0,0.3333333333333333,0.15300625300625298,1.0,20.0,8.0
11,100.0,10.0,0.3333333333333333,0.072631049720833,1.0,20.0,8.0
12,1.0,10.0,0.25,0.0,0.0,20.0,8.0
13,5.0,10.0,0.25,1.0,1.0,20.0,8.0
14,10.0,10.0,0.25,0.2333333333333333,0.6,20.0,8.0
15,20.0,10.0,0.25,0.4479166666666667,1.0,20.0,8.0
16,50.0,10.0,0.25,0.17929292929292928,0.9,20.0,8.0
17,100.0,10.0,0.25,0.07168109668109668,0.8181818181818182,20.0,8.0
18,1.0,10.0,0.2,1.0,1.0,20.0,8.0
19,5.0,10.0,0.2,1.0,1.0,20.0,8.0
20,10.0,10.0,0.2,0.2333333333333333,0.6,20.0,8.0
21,20.0,10.0,0.2,0.4479166666666667,1.0,20.0,8.0
22,50.0,10.0,0.2,0.17929292929292928,0.9,20.0,8.0
23,100.0,10.0,0.2,0.07168109668109668,0.8181818181818182,20.0,8.0
24,1.0,10.0,0.16666666666666666,0.0,0.0,20.0,8.0
25,5.0,10.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,20.0,8.0
26,10.0,10.0,0.16666666666666666,0.0,0.0,20.0,8.0
27,20.0,10.0,0.16666666666666666,0.4047619047619047,0.8571428571428571,20.0,8.0
28,50.0,10.0,0.16666666666666666,0.06845238095238095,0.5,20.0,8.0
29,100.0,10.0,0.16666666666666666,0.08050591383924716,0.8888888888888888,20.0,8.0
30,1.0,10.0,0.14285714285714285,1.0,1.0,20.0,8.0
31,5.0,10.0,0.14285714285714285,0.6666666666666666,0.6666666666666666,20.0,8.0
